SK_Item;CodigoItem;Descricao;Categoria;Subcategoria;UnidadeMedida;CurvaABC;Criticidade;EstoqueMinimo;EstoqueMaximo;PontoPedido;LoteMinimoCompra;LeadTimePadraoDias;CustoPadrao;Perecivel;ItemControlado;SK_FornecedorPreferencial;StatusItem;DataCadastro
1;IT01001;Disjuntores Material Ref 1001;Material Elétrico;Disjuntores;CX;;Média;18;65;22;8;7;137,4400;NAO;NAO;23;Ativo;2023-12-16
2;IT01002;Vedação Material Ref 1002;Material Hidráulico;Vedação;PAR;;Alta;127;753;166;58;10;222,1600;NAO;NAO;27;Inativo;2023-02-17
3;IT01003;Proteção Respiratória EPI Ref 1003;EPI;Proteção Respiratória;PAR;;Baixa;64;243;156;31;45;110,4900;NAO;SIM;25;Ativo;2023-10-25
4;IT01004;Corte Ferramentas Ref 1004;Ferramentas;Corte;CX;;Alta;139;780;205;66;15;246,1800;NAO;NAO;13;Ativo;2020-07-24
5;IT01005;Rolamentos Peças Ref 1005;Peças de Reposição;Rolamentos;KG;;Baixa;42;232;72;22;20;1818,6300;NAO;NAO;8;Ativo;2020-06-18
6;IT01006;Óleos Lubrificantes Ref 1006;Lubrificantes;Óleos;KG;;Média;145;752;338;97;30;177,5600;SIM;NAO;8;Ativo;2022-03-26
7;IT01007;Papelaria Material Ref 1007;Material de Escritório;Papelaria;PC;;Média;103;600;211;54;30;25,4100;NAO;NAO;24;Ativo;2024-04-27
8;IT01008;Utensílios Limpeza Ref 1008;Limpeza e Higiene;Utensílios;KG;;Média;91;355;113;47;7;72,6700;NAO;NAO;21;Ativo;2020-08-28
9;IT01009;Disjuntores Material Ref 1009;Material Elétrico;Disjuntores;KG;;Média;113;548;264;50;45;91,2300;NAO;NAO;1;Ativo;2020-03-06
10;IT01010;Vedação Material Ref 1010;Material Hidráulico;Vedação;MT;;Baixa;68;248;128;45;20;151,7300;NAO;NAO;11;Ativo;2020-08-04
11;IT01011;Proteção Respiratória EPI Ref 1011;EPI;Proteção Respiratória;UN;;Alta;101;363;188;87;15;27,7100;NAO;SIM;31;Ativo;2023-04-23
12;IT01012;Manuais Ferramentas Ref 1012;Ferramentas;Manuais;CX;;Alta;144;646;369;75;45;450,7100;NAO;NAO;1;Ativo;2023-10-29
13;IT01013;Rolamentos Peças Ref 1013;Peças de Reposição;Rolamentos;CX;;Baixa;30;95;86;19;45;1213,4300;NAO;NAO;8;Ativo;2023-06-30
14;IT01014;Graxas Lubrificantes Ref 1014;Lubrificantes;Graxas;LT;;Média;176;908;308;99;20;204,1600;SIM;NAO;29;Ativo;2023-03-04
15;IT01015;Informática Material Ref 1015;Material de Escritório;Informática;PC;;Média;119;543;178;59;15;38,7400;NAO;NAO;29;Ativo;2020-08-08
16;IT01016;Químicos Limpeza Ref 1016;Limpeza e Higiene;Químicos;CX;;Baixa;26;108;43;25;10;27,3100;NAO;NAO;5;Ativo;2020-11-08
17;IT01017;Conectores Material Ref 1017;Material Elétrico;Conectores;PAR;;Média;42;128;78;18;30;134,4800;NAO;NAO;31;Inativo;2020-12-21
18;IT01018;Registros Material Ref 1018;Material Hidráulico;Registros;PAR;;Média;117;609;211;70;20;143,8500;NAO;NAO;15;Ativo;2020-07-12
19;IT01019;Calçados EPI Ref 1019;EPI;Calçados;CX;;Baixa;57;315;96;29;20;67,7600;NAO;SIM;35;Inativo;2021-03-17
20;IT01020;Manuais Ferramentas Ref 1020;Ferramentas;Manuais;CX;;Média;28;116;49;32;10;139,1000;NAO;NAO;22;Ativo;2021-02-15
21;IT01021;Filtros Peças Ref 1021;Peças de Reposição;Filtros;UN;;Baixa;105;551;137;68;7;1156,2900;NAO;NAO;23;Ativo;2019-05-21
22;IT01022;Fluidos Lubrificantes Ref 1022;Lubrificantes;Fluidos;MT;;Média;12;45;15;7;7;53,0400;NAO;NAO;14;Ativo;2020-06-08
23;IT01023;Informática Material Ref 1023;Material de Escritório;Informática;KG;;Alta;93;325;114;45;7;20,0400;NAO;NAO;2;Ativo;2022-03-25
24;IT01024;Utensílios Limpeza Ref 1024;Limpeza e Higiene;Utensílios;PC;;Média;26;132;45;28;10;70,9400;NAO;NAO;20;Ativo;2022-05-14
25;IT01025;Cabos Material Ref 1025;Material Elétrico;Cabos;LT;;Média;62;255;146;42;30;235,0000;NAO;NAO;1;Ativo;2023-08-12
26;IT01026;Vedação Material Ref 1026;Material Hidráulico;Vedação;PC;;Média;173;745;292;90;20;38,7700;NAO;NAO;18;Ativo;2024-02-27
27;IT01027;Calçados EPI Ref 1027;EPI;Calçados;UN;;Média;145;796;212;67;15;65,3200;NAO;SIM;29;Ativo;2021-08-09
28;IT01028;Corte Ferramentas Ref 1028;Ferramentas;Corte;KG;;Média;42;227;91;37;20;341,7100;NAO;NAO;18;Ativo;2021-11-24
29;IT01029;Correias Peças Ref 1029;Peças de Reposição;Correias;MT;;Média;105;518;142;55;10;195,8600;NAO;NAO;2;Ativo;2020-03-29
30;IT01030;Graxas Lubrificantes Ref 1030;Lubrificantes;Graxas;PC;;Média;40;161;72;24;20;212,1700;NAO;NAO;30;Ativo;2020-05-29
31;IT01031;Papelaria Material Ref 1031;Material de Escritório;Papelaria;CX;;Média;40;203;74;17;30;17,2500;NAO;NAO;31;Ativo;2022-04-22
32;IT01032;Utensílios Limpeza Ref 1032;Limpeza e Higiene;Utensílios;UN;;Baixa;111;393;207;96;15;44,6300;NAO;NAO;9;Ativo;2024-06-18
33;IT01033;Cabos Material Ref 1033;Material Elétrico;Cabos;KG;;Média;51;155;122;53;20;165,3300;NAO;NAO;29;Ativo;2024-05-31
34;IT01034;Tubos Material Ref 1034;Material Hidráulico;Tubos;PC;;Média;103;332;136;72;7;57,7500;NAO;NAO;10;Ativo;2022-02-26
35;IT01035;Proteção Respiratória EPI Ref 1035;EPI;Proteção Respiratória;CX;;Baixa;36;193;63;20;20;26,9800;NAO;SIM;25;Ativo;2021-06-25
36;IT01036;Medição Ferramentas Ref 1036;Ferramentas;Medição;UN;;Baixa;89;523;288;100;30;968,3000;NAO;NAO;14;Ativo;2020-06-25
37;IT01037;Rolamentos Peças Ref 1037;Peças de Reposição;Rolamentos;MT;;Média;23;117;31;16;7;275,7500;NAO;NAO;15;Ativo;2020-08-02
38;IT01038;Fluidos Lubrificantes Ref 1038;Lubrificantes;Fluidos;PC;;Baixa;21;102;31;10;15;279,7300;NAO;NAO;8;Ativo;2022-08-19
39;IT01039;Papelaria Material Ref 1039;Material de Escritório;Papelaria;PAR;;Média;139;665;184;67;10;86,8400;NAO;NAO;19;Ativo;2021-08-17
40;IT01040;Utensílios Limpeza Ref 1040;Limpeza e Higiene;Utensílios;UN;;Baixa;48;156;108;30;30;28,8300;NAO;NAO;21;Ativo;2019-02-22
41;IT01041;Cabos Material Ref 1041;Material Elétrico;Cabos;PC;;Baixa;118;708;220;51;30;97,9400;NAO;NAO;3;Ativo;2019-12-25
42;IT01042;Vedação Material Ref 1042;Material Hidráulico;Vedação;UN;;Média;49;267;115;33;30;97,7600;NAO;NAO;27;Ativo;2022-10-04
43;IT01043;Proteção Cabeça EPI Ref 1043;EPI;Proteção Cabeça;PAR;;Média;47;197;72;25;15;125,7100;NAO;SIM;30;Ativo;2020-05-31
44;IT01044;Medição Ferramentas Ref 1044;Ferramentas;Medição;MT;;Alta;112;518;140;61;7;163,0700;NAO;NAO;34;Ativo;2023-03-30
45;IT01045;Vedantes Peças Ref 1045;Peças de Reposição;Vedantes;PC;;Média;60;232;179;59;30;917,2500;NAO;NAO;2;Ativo;2022-05-31
46;IT01046;Óleos Lubrificantes Ref 1046;Lubrificantes;Óleos;UN;;Média;23;137;55;24;20;218,3300;NAO;NAO;10;Ativo;2023-01-07
47;IT01047;Informática Material Ref 1047;Material de Escritório;Informática;MT;;Alta;26;121;55;22;20;43,2100;NAO;NAO;33;Ativo;2019-10-07
48;IT01048;Químicos Limpeza Ref 1048;Limpeza e Higiene;Químicos;PC;;Média;77;232;202;63;30;27,5200;NAO;NAO;32;Ativo;2021-07-03
49;IT01049;Conectores Material Ref 1049;Material Elétrico;Conectores;PC;;Média;94;527;148;41;20;120,0600;NAO;NAO;25;Ativo;2023-05-08
50;IT01050;Vedação Material Ref 1050;Material Hidráulico;Vedação;PAR;;Média;82;409;159;58;20;31,2100;NAO;NAO;10;Ativo;2019-03-17
51;IT01051;Proteção Mãos EPI Ref 1051;EPI;Proteção Mãos;UN;;Baixa;42;241;100;44;20;69,7600;NAO;SIM;27;Ativo;2024-06-09
52;IT01052;Elétricas Ferramentas Ref 1052;Ferramentas;Elétricas;PAR;;Média;118;584;241;62;30;132,3500;NAO;NAO;35;Ativo;2020-10-10
53;IT01053;Vedantes Peças Ref 1053;Peças de Reposição;Vedantes;CX;;Baixa;14;54;36;7;45;1451,2800;NAO;NAO;28;Ativo;2023-04-07
54;IT01054;Fluidos Lubrificantes Ref 1054;Lubrificantes;Fluidos;PAR;;Alta;27;85;39;12;15;216,2900;NAO;NAO;28;Ativo;2021-12-23
55;IT01055;Informática Material Ref 1055;Material de Escritório;Informática;PC;;Média;112;465;141;63;7;47,8100;NAO;NAO;10;Ativo;2022-07-30
