AnoMes;Indicador;ValorMeta;TipoMeta;LimiteInferior;LimiteSuperior
202409;Fill Rate;0,9500;MaiorMelhor;;
202409;OTIF;0,9000;MaiorMelhor;;
202409;Acuracidade;0,9800;MaiorMelhor;;
202409;Giro de Estoque;4,0000;MaiorMelhor;;
202409;Cobertura;45,0000;Faixa;40,5000;60,7500
202409;Estoque sem Giro;0,0800;MenorMelhor;;
202409;Taxa de Ruptura;0,0300;MenorMelhor;;
202409;Pontualidade Fornecedor;0,9200;MaiorMelhor;;
202410;Fill Rate;0,9500;MaiorMelhor;;
202410;OTIF;0,9000;MaiorMelhor;;
202410;Acuracidade;0,9800;MaiorMelhor;;
202410;Giro de Estoque;4,0000;MaiorMelhor;;
202410;Cobertura;45,0000;Faixa;40,5000;60,7500
202410;Estoque sem Giro;0,0800;MenorMelhor;;
202410;Taxa de Ruptura;0,0300;MenorMelhor;;
202410;Pontualidade Fornecedor;0,9200;MaiorMelhor;;
202411;Fill Rate;0,9500;MaiorMelhor;;
202411;OTIF;0,9000;MaiorMelhor;;
202411;Acuracidade;0,9800;MaiorMelhor;;
202411;Giro de Estoque;4,0000;MaiorMelhor;;
202411;Cobertura;45,0000;Faixa;40,5000;60,7500
202411;Estoque sem Giro;0,0800;MenorMelhor;;
202411;Taxa de Ruptura;0,0300;MenorMelhor;;
202411;Pontualidade Fornecedor;0,9200;MaiorMelhor;;
202412;Fill Rate;0,9500;MaiorMelhor;;
202412;OTIF;0,9000;MaiorMelhor;;
202412;Acuracidade;0,9800;MaiorMelhor;;
202412;Giro de Estoque;4,0000;MaiorMelhor;;
202412;Cobertura;45,0000;Faixa;40,5000;60,7500
202412;Estoque sem Giro;0,0800;MenorMelhor;;
202412;Taxa de Ruptura;0,0300;MenorMelhor;;
202412;Pontualidade Fornecedor;0,9200;MaiorMelhor;;
202501;Fill Rate;0,9500;MaiorMelhor;;
202501;OTIF;0,9000;MaiorMelhor;;
202501;Acuracidade;0,9800;MaiorMelhor;;
202501;Giro de Estoque;4,0000;MaiorMelhor;;
202501;Cobertura;45,0000;Faixa;40,5000;60,7500
202501;Estoque sem Giro;0,0800;MenorMelhor;;
202501;Taxa de Ruptura;0,0300;MenorMelhor;;
202501;Pontualidade Fornecedor;0,9200;MaiorMelhor;;
202502;Fill Rate;0,9500;MaiorMelhor;;
202502;OTIF;0,9000;MaiorMelhor;;
202502;Acuracidade;0,9800;MaiorMelhor;;
202502;Giro de Estoque;4,0000;MaiorMelhor;;
202502;Cobertura;45,0000;Faixa;40,5000;60,7500
202502;Estoque sem Giro;0,0800;MenorMelhor;;
202502;Taxa de Ruptura;0,0300;MenorMelhor;;
202502;Pontualidade Fornecedor;0,9200;MaiorMelhor;;
202503;Fill Rate;0,9500;MaiorMelhor;;
202503;OTIF;0,9000;MaiorMelhor;;
202503;Acuracidade;0,9800;MaiorMelhor;;
202503;Giro de Estoque;4,0000;MaiorMelhor;;
202503;Cobertura;45,0000;Faixa;40,5000;60,7500
202503;Estoque sem Giro;0,0800;MenorMelhor;;
202503;Taxa de Ruptura;0,0300;MenorMelhor;;
202503;Pontualidade Fornecedor;0,9200;MaiorMelhor;;
202504;Fill Rate;0,9500;MaiorMelhor;;
