SK_CompraItem;NumeroPedido;DataPedido;DataPrometida;DataRecebimento;SK_Item;SK_Fornecedor;SK_Deposito;QuantidadePedida;QuantidadeRecebida;QuantidadeDevolvida;PrecoUnitario;ValorPedido;ValorRecebido;LeadTimeRealDias;FlagEntregaNoPrazo;FlagRecebimentoTotal;StatusPedido
1;PC000001;2024-09-16;2024-09-26;2024-09-21;1;23;1;45,0000;45,0000;0,0000;137,9597;6208,19;6208,19;5;SIM;SIM;Recebido
2;PC000002;2025-01-08;2025-01-18;2025-01-11;1;23;1;47,0000;47,0000;0,0000;140,0467;6582,19;6582,19;3;SIM;SIM;Recebido
3;PC000003;2025-04-02;2025-04-12;2025-04-05;1;23;1;56,0000;56,0000;2,0000;137,2401;7685,45;7685,45;3;SIM;SIM;Recebido
4;PC000004;2025-07-25;2025-08-04;2025-08-03;1;23;1;58,0000;58,0000;0,0000;137,0863;7951,01;7951,01;9;SIM;SIM;Recebido
5;PC000005;2025-11-11;2025-11-21;2025-11-17;1;23;1;52,0000;52,0000;0,0000;139,3408;7245,72;7245,72;6;SIM;SIM;Recebido
6;PC000006;2026-01-20;2026-01-30;2026-01-24;1;23;1;54,0000;54,0000;0,0000;146,2823;7899,24;7899,24;4;SIM;SIM;Recebido
7;PC000007;2026-03-20;2026-03-30;2026-03-26;1;23;1;44,0000;44,0000;0,0000;136,8396;6020,94;6020,94;6;SIM;SIM;Recebido
8;PC000008;2026-05-29;2026-06-08;2026-06-02;1;23;1;44,0000;44,0000;0,0000;145,1540;6386,78;6386,78;4;SIM;SIM;Recebido
9;PC000009;2024-09-12;2024-09-22;2024-09-19;1;23;3;52,0000;52,0000;1,0000;135,0541;7022,81;7022,81;7;SIM;SIM;Recebido
10;PC000010;2024-12-13;2024-12-23;2024-12-20;1;23;3;54,0000;54,0000;0,0000;135,3180;7307,17;7307,17;7;SIM;SIM;Recebido
11;PC000011;2025-03-31;2025-04-10;2025-04-08;1;23;3;63,0000;63,0000;0,0000;138,7465;8741,03;8741,03;8;SIM;SIM;Recebido
12;PC000012;2025-06-24;2025-07-04;2025-06-26;1;23;3;51,0000;51,0000;0,0000;133,8400;6825,84;6825,84;2;SIM;SIM;Recebido
13;PC000013;2025-11-10;2025-11-20;2025-11-17;1;23;3;47,0000;47,0000;0,0000;133,4324;6271,32;6271,32;7;SIM;SIM;Recebido
14;PC000014;2026-03-11;2026-03-21;2026-03-17;1;23;3;54,0000;54,0000;0,0000;133,7134;7220,52;7220,52;6;SIM;SIM;Recebido
15;PC000015;2026-06-25;2026-07-05;2026-06-30;1;23;3;48,0000;48,0000;0,0000;139,8356;6712,11;6712,11;5;SIM;SIM;Recebido
16;PC000016;2024-09-17;2024-09-30;2024-09-24;2;27;1;697,0000;639,0000;0,0000;225,3798;157089,72;144017,69;7;SIM;NAO;Recebido
17;PC000017;2025-01-03;2025-01-16;2025-01-09;2;27;1;743,0000;743,0000;0,0000;222,9776;165672,36;165672,36;6;SIM;SIM;Recebido
18;PC000018;2025-07-03;2025-07-16;2025-07-09;2;27;1;744,0000;744,0000;0,0000;221,8528;165058,48;165058,48;6;SIM;SIM;Recebido
19;PC000019;2026-02-16;2026-03-01;2026-02-27;2;27;1;623,0000;623,0000;0,0000;232,8650;145074,90;145074,90;11;SIM;SIM;Recebido
20;PC000020;2026-06-02;2026-06-15;2026-06-10;2;27;1;619,0000;619,0000;0,0000;223,9053;138597,38;138597,38;8;SIM;SIM;Recebido
21;PC000021;2024-09-02;2024-09-15;2024-09-13;2;27;2;753,0000;753,0000;0,0000;217,0535;163441,29;163441,29;11;SIM;SIM;Recebido
22;PC000022;2025-02-21;2025-03-06;2025-02-28;2;27;2;625,0000;625,0000;0,0000;215,3242;134577,62;134577,62;7;SIM;SIM;Recebido
23;PC000023;2025-05-28;2025-06-10;2025-06-05;2;27;2;684,0000;684,0000;0,0000;220,1726;150598,06;150598,06;8;SIM;SIM;Recebido
24;PC000024;2025-08-13;2025-08-26;2025-08-23;2;27;2;644,0000;644,0000;0,0000;230,6954;148567,84;148567,84;10;SIM;SIM;Recebido
25;PC000025;2026-02-02;2026-02-15;2026-02-12;2;27;2;592,0000;592,0000;0,0000;221,2031;130952,24;130952,24;10;SIM;SIM;Recebido
26;PC000026;2026-05-18;2026-05-31;2026-05-28;2;27;2;642,0000;642,0000;0,0000;217,1631;139418,71;139418,71;10;SIM;SIM;Recebido
27;PC000027;2024-09-10;2024-10-28;2024-10-05;3;25;1;232,0000;232,0000;0,0000;114,8027;26634,23;26634,23;25;SIM;SIM;Recebido
