SK_Contagem;DataContagem;CicloInventario;SK_Item;SK_Deposito;QuantidadeSistema;QuantidadeContada;DivergenciaQuantidade;CustoMedio;DivergenciaValor;FlagSemDivergencia;Contador
1;2026-04-01;CIC-202604;1;1;28,0000;28,0000;0,0000;140,8822;0,00;SIM;Contador A
2;2026-01-30;CIC-202601;1;3;29,0000;29,0000;0,0000;136,2455;0,00;SIM;Contador C
3;2026-04-30;CIC-202604;2;1;617,0000;617,0000;0,0000;225,5467;0,00;SIM;Contador B
4;2026-06-11;CIC-202606;2;1;119,0000;119,0000;0,0000;224,7011;0,00;SIM;Contador B
5;2026-07-13;CIC-202607;2;1;735,0000;735,0000;0,0000;224,7011;0,00;SIM;Contador B
6;2025-12-22;CIC-202512;3;1;157,0000;157,0000;0,0000;112,9646;0,00;SIM;Contador C
7;2026-03-18;CIC-202603;3;1;302,0000;302,0000;0,0000;113,0913;0,00;SIM;Contador A
8;2026-04-20;CIC-202604;3;1;200,0000;200,0000;0,0000;113,0913;0,00;SIM;Contador C
9;2025-09-16;CIC-202509;4;1;550,0000;550,0000;0,0000;248,7245;0,00;SIM;Contador B
10;2026-02-16;CIC-202602;4;1;590,0000;590,0000;0,0000;247,5534;0,00;SIM;Contador A
11;2026-03-17;CIC-202603;4;1;445,0000;445,0000;0,0000;247,5534;0,00;SIM;Contador C
12;2024-11-06;CIC-202411;6;3;507,0000;507,0000;0,0000;178,0626;0,00;SIM;Contador A
13;2025-01-27;CIC-202501;6;3;83,0000;83,0000;0,0000;179,4183;0,00;SIM;Contador A
14;2025-11-04;CIC-202511;6;1;570,0000;570,0000;0,0000;179,7238;0,00;SIM;Contador A
15;2025-12-12;CIC-202512;6;1;312,0000;312,0000;0,0000;181,2631;0,00;SIM;Contador B
16;2024-09-27;CIC-202409;7;1;209,0000;209,0000;0,0000;25,4514;0,00;SIM;Contador C
17;2025-03-14;CIC-202503;7;1;355,0000;355,0000;0,0000;25,4376;0,00;SIM;Contador B
18;2025-04-21;CIC-202504;7;1;197,0000;197,0000;0,0000;25,3137;0,00;SIM;Contador B
19;2026-02-17;CIC-202602;7;1;460,0000;460,0000;0,0000;25,2984;0,00;SIM;Contador B
20;2025-04-07;CIC-202504;8;2;0,0000;0,0000;0,0000;72,0161;0,00;SIM;Contador A
21;2026-08-24;CIC-202608;8;1;213,0000;213,0000;0,0000;73,8459;0,00;SIM;Contador B
22;2025-04-08;CIC-202504;9;1;453,0000;453,0000;0,0000;91,8519;0,00;SIM;Contador B
23;2026-04-27;CIC-202604;9;1;453,0000;475,0000;22,0000;91,8519;2020,74;NAO;Contador A
24;2025-02-25;CIC-202502;10;1;140,0000;140,0000;0,0000;153,5104;0,00;SIM;Contador A
25;2025-04-11;CIC-202504;10;1;108,0000;108,0000;0,0000;153,4802;0,00;SIM;Contador B
26;2025-08-21;CIC-202508;10;1;0,0000;0,0000;0,0000;155,2496;0,00;SIM;Contador A
27;2025-09-05;CIC-202509;10;1;203,0000;203,0000;0,0000;155,2496;0,00;SIM;Contador A
28;2025-10-22;CIC-202510;10;1;156,0000;156,0000;0,0000;155,2496;0,00;SIM;Contador B
29;2026-01-26;CIC-202601;11;1;20,0000;20,0000;0,0000;28,5100;0,00;SIM;Contador C
30;2026-08-27;CIC-202608;11;1;199,0000;199,0000;0,0000;29,1639;0,00;SIM;Contador B
31;2025-06-23;CIC-202506;12;1;580,0000;580,0000;0,0000;451,3543;0,00;SIM;Contador B
32;2025-07-02;CIC-202507;12;1;211,0000;211,0000;0,0000;451,6905;0,00;SIM;Contador A
33;2026-06-15;CIC-202606;12;1;696,0000;696,0000;0,0000;450,6106;0,00;SIM;Contador C
34;2025-01-14;CIC-202501;13;1;155,0000;155,0000;0,0000;1212,9308;0,00;SIM;Contador C
35;2025-08-04;CIC-202508;13;1;48,0000;48,0000;0,0000;1232,7434;0,00;SIM;Contador B
