SK_Movimentacao;Data;SK_Item;SK_Deposito;SK_TipoMovimento;SK_CentroCusto;SK_Fornecedor;NumeroDocumento;Quantidade;CustoUnitario;ValorTotal;QuantidadeSinalizada;ValorSinalizado
1;2024-09-02;1;1;6;10;;RQ000001;4,0000;137,4400;549,76;-4,0000;-549,76
2;2024-09-19;1;1;6;8;;RQ000002;4,0000;137,4400;549,76;-4,0000;-549,76
3;2024-09-12;1;1;7;3;;RQ000003;4,0000;137,4400;549,76;-4,0000;-549,76
4;2024-09-09;1;1;6;4;;RQ000004;4,0000;137,4400;549,76;-4,0000;-549,76
5;2024-09-24;1;1;6;1;;RQ000005;4,0000;137,4400;549,76;-4,0000;-549,76
6;2024-09-18;1;1;1;;23;NF336540;45,0000;138,6658;6239,96;45,0000;6239,96
7;2024-10-10;1;1;6;6;;RQ000006;15,0000;138,6658;2079,99;-15,0000;-2079,99
8;2024-11-11;1;1;8;10;;RQ000007;16,0000;138,6658;2218,65;-16,0000;-2218,65
9;2024-11-06;1;1;9;;;TR000009;7,0000;138,6658;970,66;-7,0000;-970,66
10;2024-12-09;1;1;8;5;;RQ000008;1,0000;138,6658;138,67;-1,0000;-138,67
11;2024-12-19;1;1;8;8;;RQ000009;1,0000;138,6658;138,67;-1,0000;-138,67
12;2024-12-03;1;1;7;11;;RQ000010;1,0000;138,6658;138,67;-1,0000;-138,67
13;2024-12-06;1;1;8;5;;RQ000011;1,0000;138,6658;138,67;-1,0000;-138,67
14;2024-12-10;1;1;7;8;;RQ000012;1,0000;138,6658;138,67;-1,0000;-138,67
15;2024-12-19;1;1;1;;23;NF381607;43,0000;138,9465;5974,70;43,0000;5974,70
16;2025-01-03;1;1;8;6;;RQ000013;11,0000;138,9465;1528,41;-11,0000;-1528,41
17;2025-01-17;1;1;9;;;TR000017;5,0000;138,9465;694,73;-5,0000;-694,73
18;2025-02-19;1;1;6;8;;RQ000014;4,0000;138,9465;555,79;-4,0000;-555,79
19;2025-02-17;1;1;8;9;;RQ000015;4,0000;138,9465;555,79;-4,0000;-555,79
20;2025-02-05;1;1;6;8;;RQ000016;4,0000;138,9465;555,79;-4,0000;-555,79
21;2025-02-26;1;1;6;3;;RQ000017;4,0000;138,9465;555,79;-4,0000;-555,79
22;2025-03-13;1;1;8;7;;RQ000018;16,0000;138,9465;2223,14;-16,0000;-2223,14
23;2025-03-29;1;1;1;;23;NF710981;48,0000;140,0678;6723,25;48,0000;6723,25
24;2025-04-25;1;1;6;5;;RQ000019;20,0000;140,0678;2801,36;-20,0000;-2801,36
25;2025-06-24;1;1;7;5;;RQ000020;27,0000;140,0678;3781,83;-27,0000;-3781,83
26;2025-06-27;1;1;1;;23;NF436454;47,0000;139,8021;6570,70;47,0000;6570,70
27;2025-07-07;1;1;7;4;;RQ000021;15,0000;139,8021;2097,03;-15,0000;-2097,03
28;2025-08-13;1;1;6;9;;RQ000022;8,0000;139,8021;1118,42;-8,0000;-1118,42
29;2025-08-29;1;1;6;1;;RQ000023;8,0000;139,8021;1118,42;-8,0000;-1118,42
30;2025-08-07;1;1;7;6;;RQ000024;8,0000;139,8021;1118,42;-8,0000;-1118,42
31;2025-09-29;1;1;7;12;;RQ000025;1,0000;139,8021;139,80;-1,0000;-139,80
32;2025-09-02;1;1;6;10;;RQ000026;1,0000;139,8021;139,80;-1,0000;-139,80
33;2025-09-08;1;1;8;4;;RQ000027;1,0000;139,8021;139,80;-1,0000;-139,80
34;2025-10-20;1;1;6;4;;RQ000028;7,0000;139,8021;978,61;-7,0000;-978,61
35;2025-10-23;1;1;8;11;;RQ000029;7,0000;139,8021;978,61;-7,0000;-978,61
36;2025-10-15;1;1;1;;23;NF778787;56,0000;140,2505;7854,03;56,0000;7854,03
37;2025-12-09;1;1;8;12;;RQ000030;4,0000;140,2505;561,00;-4,0000;-561,00
38;2025-12-05;1;1;8;4;;RQ000031;4,0000;140,2505;561,00;-4,0000;-561,00
39;2025-12-22;1;1;7;11;;RQ000032;4,0000;140,2505;561,00;-4,0000;-561,00
40;2026-01-23;1;1;6;11;;RQ000033;12,0000;140,2505;1683,01;-12,0000;-1683,01
41;2026-01-28;1;1;6;11;;RQ000034;12,0000;140,2505;1683,01;-12,0000;-1683,01
42;2026-02-12;1;1;6;12;;RQ000035;29,0000;140,2505;4067,26;-29,0000;-4067,26
43;2026-02-09;1;1;1;;23;NF813763;65,0000;140,8822;9157,34;65,0000;9157,34
44;2026-03-05;1;1;6;4;;RQ000036;13,0000;140,8822;1831,47;-13,0000;-1831,47
45;2026-04-21;1;1;6;1;;RQ000037;8,0000;140,8822;1127,06;-8,0000;-1127,06
46;2026-04-06;1;1;7;2;;RQ000038;8,0000;140,8822;1127,06;-8,0000;-1127,06
47;2026-04-14;1;1;7;7;;RQ000039;8,0000;140,8822;1127,06;-8,0000;-1127,06
48;2026-05-05;1;1;6;7;;RQ000040;7,0000;140,8822;986,18;-7,0000;-986,18
49;2026-05-27;1;1;6;5;;RQ000041;7,0000;140,8822;986,18;-7,0000;-986,18
50;2026-05-20;1;1;8;6;;RQ000042;7,0000;140,8822;986,18;-7,0000;-986,18
51;2026-05-21;1;1;1;;23;NF321449;58,0000;142,3367;8255,53;58,0000;8255,53
52;2026-06-04;1;1;7;12;;RQ000043;8,0000;142,3367;1138,69;-8,0000;-1138,69
53;2026-06-25;1;1;8;10;;RQ000044;8,0000;142,3367;1138,69;-8,0000;-1138,69
54;2026-06-04;1;1;9;;;TR000054;5,0000;142,3367;711,68;-5,0000;-711,68
55;2026-07-10;1;1;7;11;;RQ000045;4,0000;142,3367;569,35;-4,0000;-569,35
56;2026-08-07;1;1;8;4;;RQ000046;3,0000;142,3367;427,01;-3,0000;-427,01
57;2026-08-12;1;1;8;7;;RQ000047;3,0000;142,3367;427,01;-3,0000;-427,01
58;2026-08-07;1;1;8;8;;RQ000048;3,0000;142,3367;427,01;-3,0000;-427,01
59;2026-08-04;1;1;8;11;;RQ000049;3,0000;142,3367;427,01;-3,0000;-427,01
60;2024-09-04;1;3;6;1;;RQ000050;29,0000;137,4400;3985,76;-29,0000;-3985,76
61;2024-09-12;1;3;1;;23;NF868677;44,0000;137,0372;6029,64;44,0000;6029,64
62;2024-10-11;1;3;6;2;;RQ000051;22,0000;137,0372;3014,82;-22,0000;-3014,82
63;2024-11-06;1;3;3;;;TR000063;7,0000;137,0372;959,26;7,0000;959,26
64;2024-11-28;1;3;6;2;;RQ000052;9,0000;137,0372;1233,33;-9,0000;-1233,33
65;2024-11-22;1;3;7;3;;RQ000053;9,0000;137,0372;1233,33;-9,0000;-1233,33
66;2024-12-16;1;3;7;2;;RQ000054;5,0000;137,0372;685,19;-5,0000;-685,19
67;2024-12-09;1;3;8;6;;RQ000055;5,0000;137,0372;685,19;-5,0000;-685,19
68;2025-01-17;1;3;3;;;TR000068;5,0000;136,4499;682,25;5,0000;682,25
69;2025-01-05;1;3;1;;23;NF809147;46,0000;136,4499;6276,70;46,0000;6276,70
70;2025-01-27;1;3;8;10;;RQ000056;2,0000;136,4499;272,90;-2,0000;-272,90
71;2025-01-28;1;3;7;3;;RQ000057;2,0000;136,4499;272,90;-2,0000;-272,90
72;2025-01-09;1;3;6;9;;RQ000058;2,0000;136,4499;272,90;-2,0000;-272,90
