AnoMes;DataReferencia;SK_CentroCusto;Categoria;ValorOrcado
202409;2024-09-01;1;Material Elétrico;33751,33
202409;2024-09-01;1;Material Hidráulico;12780,01
202409;2024-09-01;1;EPI;22224,72
202409;2024-09-01;1;Ferramentas;42291,74
202409;2024-09-01;1;Peças de Reposição;11642,44
202409;2024-09-01;1;Lubrificantes;5577,30
202409;2024-09-01;1;Material de Escritório;4185,35
202409;2024-09-01;1;Limpeza e Higiene;3986,86
202409;2024-09-01;2;Material Elétrico;8437,05
202409;2024-09-01;2;Material Hidráulico;38987,26
202409;2024-09-01;2;EPI;30827,75
202409;2024-09-01;2;Ferramentas;9920,08
202409;2024-09-01;2;Peças de Reposição;41287,94
202409;2024-09-01;2;Lubrificantes;21729,37
202409;2024-09-01;2;Material de Escritório;36720,81
202409;2024-09-01;2;Limpeza e Higiene;42584,39
202409;2024-09-01;3;Material Elétrico;36331,58
202409;2024-09-01;3;Material Hidráulico;4197,49
202409;2024-09-01;3;EPI;24310,18
202409;2024-09-01;3;Ferramentas;20297,55
202409;2024-09-01;3;Peças de Reposição;26202,30
202409;2024-09-01;3;Lubrificantes;32468,10
202409;2024-09-01;3;Material de Escritório;6448,44
202409;2024-09-01;3;Limpeza e Higiene;36674,37
202409;2024-09-01;4;Material Elétrico;44824,70
202409;2024-09-01;4;Material Hidráulico;26376,40
202409;2024-09-01;4;EPI;4852,36
202409;2024-09-01;4;Ferramentas;30626,71
202409;2024-09-01;4;Peças de Reposição;14854,50
202409;2024-09-01;4;Lubrificantes;25996,59
202409;2024-09-01;4;Material de Escritório;22001,55
202409;2024-09-01;4;Limpeza e Higiene;29767,85
202409;2024-09-01;5;Material Elétrico;30524,69
202409;2024-09-01;5;Material Hidráulico;16629,01
202409;2024-09-01;5;EPI;4801,42
202409;2024-09-01;5;Ferramentas;26306,85
202409;2024-09-01;5;Peças de Reposição;9825,24
202409;2024-09-01;5;Lubrificantes;18820,15
202409;2024-09-01;5;Material de Escritório;14503,83
202409;2024-09-01;5;Limpeza e Higiene;25202,22
202409;2024-09-01;6;Material Elétrico;6924,35
202409;2024-09-01;6;Material Hidráulico;17701,28
202409;2024-09-01;6;EPI;20112,40
202409;2024-09-01;6;Ferramentas;3145,37
202409;2024-09-01;6;Peças de Reposição;27202,01
202409;2024-09-01;6;Lubrificantes;18374,58
202409;2024-09-01;6;Material de Escritório;22123,29
202409;2024-09-01;6;Limpeza e Higiene;22206,74
202409;2024-09-01;7;Material Elétrico;14418,57
202409;2024-09-01;7;Material Hidráulico;43181,05
202409;2024-09-01;7;EPI;22698,45
202409;2024-09-01;7;Ferramentas;31000,01
202409;2024-09-01;7;Peças de Reposição;10446,15
202409;2024-09-01;7;Lubrificantes;23697,45
202409;2024-09-01;7;Material de Escritório;13293,46
202409;2024-09-01;7;Limpeza e Higiene;36924,10
202409;2024-09-01;8;Material Elétrico;22790,93
202409;2024-09-01;8;Material Hidráulico;8236,70
202409;2024-09-01;8;EPI;37891,46
202409;2024-09-01;8;Ferramentas;20558,67
202409;2024-09-01;8;Peças de Reposição;28864,54
202409;2024-09-01;8;Lubrificantes;36777,16
202409;2024-09-01;8;Material de Escritório;14865,72
202409;2024-09-01;8;Limpeza e Higiene;32754,22
202409;2024-09-01;9;Material Elétrico;27566,83
202409;2024-09-01;9;Material Hidráulico;26558,47
202409;2024-09-01;9;EPI;3603,30
202409;2024-09-01;9;Ferramentas;25164,54
202409;2024-09-01;9;Peças de Reposição;7301,77
202409;2024-09-01;9;Lubrificantes;10749,75
202409;2024-09-01;9;Material de Escritório;14866,11
202409;2024-09-01;9;Limpeza e Higiene;28843,16
202409;2024-09-01;10;Material Elétrico;10146,82
202409;2024-09-01;10;Material Hidráulico;5148,18
202409;2024-09-01;10;EPI;3430,53
202409;2024-09-01;10;Ferramentas;10717,85
202409;2024-09-01;10;Peças de Reposição;19466,97
202409;2024-09-01;10;Lubrificantes;12943,43
202409;2024-09-01;10;Material de Escritório;25119,98
202409;2024-09-01;10;Limpeza e Higiene;11677,35
202409;2024-09-01;11;Material Elétrico;3485,43
202409;2024-09-01;11;Material Hidráulico;27792,44
202409;2024-09-01;11;EPI;15198,03
202409;2024-09-01;11;Ferramentas;26997,56
202409;2024-09-01;11;Peças de Reposição;29000,99
202409;2024-09-01;11;Lubrificantes;25997,98
202409;2024-09-01;11;Material de Escritório;15174,65
202409;2024-09-01;11;Limpeza e Higiene;4364,40
202409;2024-09-01;12;Material Elétrico;6606,54
202409;2024-09-01;12;Material Hidráulico;14601,24
