SK_RequisicaoItem;NumeroRequisicao;DataSolicitacao;DataPrometida;DataAtendimento;SK_Item;SK_Deposito;SK_CentroCusto;SK_Solicitante;SK_Status;QuantidadeSolicitada;QuantidadeAtendida;QuantidadeNaoAtendida;CustoUnitario;HorasAtendimento;FlagAtendidoTotal;FlagNoPrazo;FlagOTIF;FlagPendente;MotivoNaoAtendimento
1;RQ000001;2024-09-02;2024-09-03;2024-09-02;1;1;10;40;3;4,0000;4,0000;0,0000;137,4400;6,66;1;1;1;0;
2;RQ000002;2024-09-19;2024-09-20;2024-09-19;1;1;8;16;3;4,0000;4,0000;0,0000;137,4400;6,22;1;1;1;0;
3;RQ000003;2024-09-12;2024-09-13;2024-09-12;1;1;3;22;3;4,0000;4,0000;0,0000;137,4400;7,74;1;1;1;0;
4;RQ000004;2024-09-09;2024-09-10;2024-09-09;1;1;4;7;3;4,0000;4,0000;0,0000;137,4400;3,45;1;1;1;0;
5;RQ000005;2024-09-24;2024-09-25;2024-09-24;1;1;1;11;3;4,0000;4,0000;0,0000;137,4400;6,13;1;1;1;0;
6;RQ000006;2024-10-10;2024-10-11;2024-10-10;1;1;6;22;3;15,0000;15,0000;0,0000;138,6658;1,73;1;1;1;0;
7;RQ000007;2024-11-11;2024-11-12;2024-11-11;1;1;10;28;3;16,0000;16,0000;0,0000;138,6658;5,93;1;1;1;0;
8;RQ000008;2024-12-09;2024-12-10;2024-12-09;1;1;5;26;3;1,0000;1,0000;0,0000;138,6658;1,67;1;1;1;0;
9;RQ000009;2024-12-19;2024-12-20;2024-12-19;1;1;8;28;3;1,0000;1,0000;0,0000;138,6658;3,53;1;1;1;0;
10;RQ000010;2024-12-03;2024-12-04;2024-12-03;1;1;11;7;3;1,0000;1,0000;0,0000;138,6658;4,36;1;1;1;0;
11;RQ000011;2024-12-06;2024-12-07;2024-12-06;1;1;5;8;3;1,0000;1,0000;0,0000;138,6658;4,31;1;1;1;0;
12;RQ000012;2024-12-10;2024-12-11;2024-12-10;1;1;8;6;3;1,0000;1,0000;0,0000;138,6658;5,63;1;1;1;0;
13;RQ000013;2025-01-03;2025-01-04;2025-01-03;1;1;6;38;3;11,0000;11,0000;0,0000;138,9465;3,90;1;1;1;0;
14;RQ000014;2025-02-19;2025-02-20;2025-02-19;1;1;8;3;3;4,0000;4,0000;0,0000;138,9465;3,76;1;1;1;0;
15;RQ000015;2025-02-17;2025-02-18;2025-02-17;1;1;9;40;3;4,0000;4,0000;0,0000;138,9465;5,74;1;1;1;0;
16;RQ000016;2025-02-05;2025-02-06;2025-02-05;1;1;8;14;3;4,0000;4,0000;0,0000;138,9465;7,89;1;1;1;0;
17;RQ000017;2025-02-26;2025-02-27;2025-02-26;1;1;3;28;3;4,0000;4,0000;0,0000;138,9465;7,92;1;1;1;0;
18;RQ000018;2025-03-13;2025-03-14;2025-03-13;1;1;7;34;3;16,0000;16,0000;0,0000;138,9465;7,00;1;1;1;0;
19;RQ000019;2025-04-25;2025-04-26;2025-04-25;1;1;5;27;3;20,0000;20,0000;0,0000;140,0678;7,16;1;1;1;0;
20;RQ000020;2025-06-24;2025-06-25;2025-06-24;1;1;5;20;3;27,0000;27,0000;0,0000;140,0678;1,14;1;1;1;0;
21;RQ000021;2025-07-07;2025-07-08;2025-07-07;1;1;4;32;3;15,0000;15,0000;0,0000;139,8021;3,85;1;1;1;0;
22;RQ000022;2025-08-13;2025-08-14;2025-08-13;1;1;9;13;3;8,0000;8,0000;0,0000;139,8021;1,20;1;1;1;0;
23;RQ000023;2025-08-29;2025-08-30;2025-08-29;1;1;1;24;3;8,0000;8,0000;0,0000;139,8021;4,20;1;1;1;0;
24;RQ000024;2025-08-07;2025-08-08;2025-08-07;1;1;6;8;3;8,0000;8,0000;0,0000;139,8021;4,54;1;1;1;0;
25;RQ000025;2025-09-29;2025-09-30;2025-09-29;1;1;12;2;3;1,0000;1,0000;0,0000;139,8021;1,63;1;1;1;0;
26;RQ000026;2025-09-02;2025-09-03;2025-09-02;1;1;10;15;3;1,0000;1,0000;0,0000;139,8021;2,50;1;1;1;0;
27;RQ000027;2025-09-08;2025-09-09;2025-09-08;1;1;4;2;3;1,0000;1,0000;0,0000;139,8021;3,87;1;1;1;0;
28;RQ000028;2025-10-20;2025-10-21;2025-10-20;1;1;4;20;3;7,0000;7,0000;0,0000;139,8021;6,64;1;1;1;0;
